Rank,GPA,People,Top%
1,2.52,1,0.0%
2,2.50,1,0.3%
3,2.49,3,0.7%
6,2.48,4,1.7%
10,2.47,5,3.0%
15,2.46,2,4.7%
17,2.44,7,5.3%
24,2.43,4,7.7%
28,2.42,5,9.0%
33,2.41,4,10.7%
37,2.40,10,12.0%
47,2.39,7,15.3%
54,2.38,7,17.7%
61,2.35,1,20.0%
62,2.34,9,20.3%
71,2.33,7,23.3%
78,2.32,3,25.7%
81,2.31,8,26.7%
89,2.30,22,29.3%
111,2.29,10,36.7%
121,2.28,12,40.0%
133,2.27,4,44.0%
137,2.26,15,45.3%
152,2.25,17,50.3%
169,2.24,14,56.0%
183,2.23,8,60.7%
191,2.22,8,63.3%
199,2.21,15,66.0%
214,2.20,10,71.0%
224,2.19,2,74.3%
226,2.17,9,75.0%
235,2.16,9,78.0%
244,2.15,8,81.0%
252,2.14,4,83.7%
256,2.13,3,85.0%
259,2.12,4,86.0%
263,2.11,3,87.3%
266,2.10,2,88.3%
268,2.08,5,89.0%
273,2.07,3,90.7%
276,2.05,1,91.7%
277,2.04,2,92.0%
279,2.03,8,92.7%
287,2.02,4,95.3%
291,2.01,3,96.7%
294,1.99,1,97.7%
295,1.98,2,98.0%
297,1.97,1,98.7%
298,1.96,1,99.0%
299,1.94,2,99.3%
