Rank,GPA,People,Top%
1,4.29,1,0.0%
2,4.28,1,0.3%
3,4.27,1,0.7%
4,4.24,1,1.0%
5,4.23,2,1.3%
7,4.22,2,2.0%
9,4.20,6,2.7%
15,4.19,4,4.7%
19,4.18,1,6.0%
20,4.15,4,6.3%
24,4.14,9,7.7%
33,4.13,3,10.7%
36,4.12,1,11.7%
37,4.11,12,12.0%
49,4.10,12,16.0%
61,4.09,4,20.0%
65,4.08,1,21.3%
66,4.06,9,21.7%
75,4.05,8,24.7%
83,4.04,7,27.3%
90,4.03,1,29.7%
91,4.02,11,30.0%
102,4.01,10,33.7%
112,4.00,11,37.0%
123,3.97,15,40.7%
138,3.96,10,45.7%
148,3.95,11,49.0%
159,3.94,2,52.7%
161,3.93,15,53.3%
176,3.92,10,58.3%
186,3.91,7,61.7%
193,3.89,1,64.0%
194,3.88,9,64.3%
203,3.87,11,67.3%
214,3.86,8,71.0%
222,3.84,12,73.7%
234,3.83,5,77.7%
239,3.82,12,79.3%
251,3.79,5,83.3%
256,3.78,8,85.0%
264,3.77,3,87.7%
267,3.75,7,88.7%
274,3.74,5,91.0%
279,3.73,4,92.7%
283,3.70,2,94.0%
285,3.69,2,94.7%
287,3.66,4,95.3%
291,3.65,3,96.7%
294,3.64,3,97.7%
297,3.57,1,98.7%
298,3.48,1,99.0%
299,3.46,1,99.3%
300,3.45,1,99.7%
