Rank,GPA,People,Top%
1,4.27,1,0.0%
2,4.21,1,0.3%
3,4.20,1,0.7%
4,4.15,1,1.0%
5,4.13,1,1.3%
6,4.05,1,1.7%
7,4.01,1,2.0%
8,4.00,1,2.3%
9,3.98,4,2.7%
13,3.97,3,4.0%
16,3.95,1,5.0%
17,3.94,2,5.3%
19,3.93,1,6.0%
20,3.92,4,6.3%
24,3.91,2,7.7%
26,3.89,1,8.3%
27,3.88,2,8.7%
29,3.87,2,9.3%
31,3.86,1,10.0%
32,3.85,1,10.3%
33,3.84,3,10.7%
36,3.83,7,11.7%
43,3.82,3,14.0%
46,3.79,9,15.0%
55,3.78,6,18.0%
61,3.77,2,20.0%
63,3.76,2,20.7%
65,3.75,4,21.3%
69,3.74,5,22.7%
74,3.73,3,24.3%
77,3.71,3,25.3%
80,3.70,6,26.3%
86,3.69,3,28.3%
89,3.68,3,29.3%
92,3.67,3,30.3%
95,3.66,7,31.3%
102,3.65,10,33.7%
112,3.64,3,37.0%
115,3.62,2,38.0%
117,3.61,8,38.7%
125,3.60,4,41.3%
129,3.59,4,42.7%
133,3.58,4,44.0%
137,3.57,9,45.3%
146,3.56,3,48.3%
149,3.55,2,49.3%
151,3.53,3,50.0%
154,3.52,7,51.0%
161,3.51,6,53.3%
167,3.50,1,55.3%
168,3.48,7,55.7%
175,3.47,7,58.0%
182,3.46,5,60.3%
187,3.45,3,62.0%
190,3.44,4,63.0%
194,3.43,8,64.3%
202,3.42,9,67.0%
211,3.41,1,70.0%
212,3.39,1,70.3%
213,3.38,7,70.7%
220,3.37,4,73.0%
224,3.36,4,74.3%
228,3.34,3,75.7%
231,3.33,6,76.7%
237,3.30,3,78.7%
240,3.29,11,79.7%
251,3.28,5,83.3%
256,3.27,1,85.0%
257,3.25,7,85.3%
264,3.24,4,87.7%
268,3.23,3,89.0%
271,3.21,3,90.0%
274,3.20,5,91.0%
279,3.19,2,92.7%
281,3.18,3,93.3%
284,3.15,2,94.3%
286,3.14,1,95.0%
287,3.12,3,95.3%
290,3.11,3,96.3%
293,3.10,1,97.3%
294,3.09,1,97.7%
295,3.06,1,98.0%
296,2.90,1,98.3%
297,2.87,1,98.7%
298,2.84,1,99.0%
299,2.82,1,99.3%
300,2.75,1,99.7%
