Rank,GPA,People,Top%
1,3.98,1,0.0%
2,3.83,1,0.3%
3,3.80,1,0.7%
4,3.75,2,1.0%
6,3.74,2,1.7%
8,3.73,1,2.3%
9,3.71,2,2.7%
11,3.70,3,3.3%
14,3.69,1,4.3%
15,3.67,3,4.7%
18,3.66,8,5.7%
26,3.65,9,8.3%
35,3.64,1,11.3%
36,3.62,2,11.7%
38,3.61,5,12.3%
43,3.60,8,14.0%
51,3.59,2,16.7%
53,3.58,19,17.3%
72,3.57,27,23.7%
99,3.56,38,32.7%
137,3.55,13,45.3%
150,3.54,2,49.7%
152,3.53,11,50.3%
163,3.52,37,54.0%
200,3.51,30,66.3%
230,3.50,17,76.3%
247,3.49,9,82.0%
256,3.48,3,85.0%
259,3.47,17,86.0%
276,3.46,5,91.7%
281,3.45,4,93.3%
285,3.44,4,94.7%
289,3.43,2,96.0%
291,3.42,5,96.7%
296,3.38,2,98.3%
298,3.36,1,99.0%
299,3.34,1,99.3%
300,3.27,1,99.7%
