Rank,GPA,People,Top%
1,4.05,2,0.0%
3,4.02,2,0.7%
5,3.96,1,1.3%
6,3.94,2,1.7%
8,3.92,2,2.3%
10,3.91,1,3.0%
11,3.89,2,3.3%
13,3.88,1,4.0%
14,3.87,3,4.3%
17,3.86,3,5.3%
20,3.85,8,6.3%
28,3.84,15,9.0%
43,3.83,18,14.0%
61,3.82,8,20.0%
69,3.80,8,22.7%
77,3.79,15,25.3%
92,3.78,12,30.3%
104,3.77,8,34.3%
112,3.76,7,37.0%
119,3.75,5,39.3%
124,3.74,16,41.0%
140,3.73,6,46.3%
146,3.71,11,48.3%
157,3.70,6,52.0%
163,3.69,8,54.0%
171,3.68,4,56.7%
175,3.67,6,58.0%
181,3.66,12,60.0%
193,3.65,17,64.0%
210,3.64,4,69.7%
214,3.62,13,71.0%
227,3.61,15,75.3%
242,3.60,11,80.3%
253,3.59,8,84.0%
261,3.58,6,86.7%
267,3.57,10,88.7%
277,3.56,8,92.0%
285,3.55,5,94.7%
290,3.53,3,96.3%
293,3.52,5,97.3%
298,3.50,1,99.0%
299,3.47,2,99.3%
