Rank,GPA,People,Top%
1,4.29,1,0.0%
2,4.24,1,0.3%
3,4.23,1,0.7%
4,4.20,3,1.0%
7,4.19,1,2.0%
8,4.18,2,2.3%
10,4.16,1,3.0%
11,4.15,5,3.3%
16,4.14,4,5.0%
20,4.11,4,6.3%
24,4.10,10,7.7%
34,4.09,4,11.0%
38,4.06,5,12.3%
43,4.05,8,14.0%
51,4.04,4,16.7%
55,4.02,8,18.0%
63,4.01,5,20.7%
68,4.00,5,22.3%
73,3.99,2,24.0%
75,3.97,9,24.7%
84,3.96,11,27.7%
95,3.95,5,31.3%
100,3.94,2,33.0%
102,3.93,9,33.7%
111,3.92,7,36.7%
118,3.91,5,39.0%
123,3.88,8,40.7%
131,3.87,5,43.3%
136,3.86,6,45.0%
142,3.84,9,47.0%
151,3.83,11,50.0%
162,3.82,7,53.7%
169,3.81,1,56.0%
170,3.80,3,56.3%
173,3.79,13,57.3%
186,3.78,7,61.7%
193,3.77,1,64.0%
194,3.75,9,64.3%
203,3.74,11,67.3%
214,3.73,2,71.0%
216,3.70,6,71.7%
222,3.69,10,73.7%
232,3.68,6,77.0%
238,3.67,2,79.0%
240,3.66,8,79.7%
248,3.65,5,82.3%
253,3.64,4,84.0%
257,3.62,1,85.3%
258,3.61,6,85.7%
264,3.60,3,87.7%
267,3.59,2,88.7%
269,3.58,1,89.3%
270,3.57,2,89.7%
272,3.56,2,90.3%
274,3.55,1,91.0%
275,3.52,5,91.3%
280,3.51,5,93.0%
285,3.49,2,94.7%
287,3.47,1,95.3%
288,3.46,1,95.7%
289,3.45,2,96.0%
291,3.43,3,96.7%
294,3.42,1,97.7%
295,3.41,1,98.0%
296,3.38,3,98.3%
299,3.25,1,99.3%
300,3.15,1,99.7%
