Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,4,0.7%
7,4.28,3,2.0%
10,4.27,2,3.0%
12,4.24,5,3.7%
17,4.23,7,5.3%
24,4.22,5,7.7%
29,4.21,1,9.3%
30,4.20,7,9.7%
37,4.19,10,12.0%
47,4.18,3,15.3%
50,4.15,11,16.3%
61,4.14,15,20.0%
76,4.13,4,25.0%
80,4.11,8,26.3%
88,4.10,14,29.0%
102,4.09,10,33.7%
112,4.08,1,37.0%
113,4.07,2,37.3%
115,4.06,7,38.0%
122,4.05,11,40.3%
133,4.04,6,44.0%
139,4.03,3,46.0%
142,4.02,11,47.0%
153,4.01,15,50.7%
168,4.00,3,55.7%
171,3.99,1,56.7%
172,3.97,11,57.0%
183,3.96,8,60.7%
191,3.95,2,63.3%
193,3.93,5,64.0%
198,3.92,9,65.7%
207,3.91,1,68.7%
208,3.89,1,69.0%
209,3.88,11,69.3%
220,3.87,10,73.0%
230,3.86,4,76.3%
234,3.84,4,77.7%
238,3.83,1,79.0%
239,3.82,4,79.3%
243,3.81,1,80.7%
244,3.79,6,81.0%
250,3.78,5,83.0%
255,3.77,5,84.7%
260,3.76,2,86.3%
262,3.75,6,87.0%
268,3.74,9,89.0%
277,3.73,3,92.0%
280,3.72,1,93.0%
281,3.71,1,93.3%
282,3.70,1,93.7%
283,3.69,3,94.0%
286,3.68,4,95.0%
290,3.66,1,96.3%
291,3.65,1,96.7%
292,3.61,1,97.0%
293,3.60,2,97.3%
295,3.59,2,98.0%
297,3.52,1,98.7%
298,3.46,1,99.0%
299,3.38,1,99.3%
300,3.33,1,99.7%
