Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,6,0.7%
9,4.28,4,2.7%
13,4.27,1,4.0%
14,4.24,2,4.3%
16,4.23,3,5.0%
19,4.22,6,6.0%
25,4.20,10,8.0%
35,4.19,5,11.3%
40,4.18,2,13.0%
42,4.17,1,13.7%
43,4.15,11,14.0%
54,4.14,9,17.7%
63,4.13,6,20.7%
69,4.12,1,22.7%
70,4.11,19,23.0%
89,4.10,18,29.3%
107,4.09,5,35.3%
112,4.08,1,37.0%
113,4.06,15,37.3%
128,4.05,4,42.3%
132,4.04,9,43.7%
141,4.03,2,46.7%
143,4.02,15,47.3%
158,4.01,7,52.3%
165,4.00,7,54.7%
172,3.97,10,57.0%
182,3.96,13,60.3%
195,3.95,6,64.7%
201,3.94,1,66.7%
202,3.93,8,67.0%
210,3.92,8,69.7%
218,3.91,6,72.3%
224,3.89,2,74.3%
226,3.88,7,75.0%
233,3.87,7,77.3%
240,3.86,2,79.7%
242,3.85,2,80.3%
244,3.84,8,81.0%
252,3.83,6,83.7%
258,3.82,3,85.7%
261,3.80,2,86.7%
263,3.79,3,87.3%
266,3.78,4,88.3%
270,3.77,1,89.7%
271,3.75,4,90.0%
275,3.74,2,91.3%
277,3.73,1,92.0%
278,3.70,2,92.3%
280,3.69,3,93.0%
283,3.68,2,94.0%
285,3.66,3,94.7%
288,3.64,3,95.7%
291,3.61,1,96.7%
292,3.59,1,97.0%
293,3.57,1,97.3%
294,3.56,2,97.7%
296,3.55,2,98.3%
298,3.52,1,99.0%
299,3.50,1,99.3%
300,3.46,1,99.7%
