Rank,GPA,People,Top%
1,4.30,11,0.0%
12,4.29,12,3.7%
24,4.28,9,7.7%
33,4.27,6,10.7%
39,4.25,14,12.7%
53,4.24,25,17.3%
78,4.23,24,25.7%
102,4.22,13,33.7%
115,4.21,10,38.0%
125,4.20,10,41.3%
135,4.19,14,44.7%
149,4.18,5,49.3%
154,4.15,1,51.0%
155,2.52,1,51.3%
156,2.50,1,51.7%
157,2.49,7,52.0%
164,2.48,15,54.3%
179,2.47,21,59.3%
200,2.46,9,66.3%
209,2.44,13,69.3%
222,2.43,11,73.7%
233,2.42,14,77.3%
247,2.41,5,82.0%
252,2.40,5,83.7%
257,2.39,11,85.3%
268,2.38,7,89.0%
275,2.37,5,91.3%
280,2.35,4,93.0%
284,2.34,1,94.3%
285,2.33,2,94.7%
287,2.32,1,95.3%
288,2.31,1,95.7%
289,2.30,2,96.0%
291,2.29,6,96.7%
297,2.28,2,98.7%
299,2.25,1,99.3%
300,2.24,1,99.7%
