Rank,GPA,People,Top%
1,4.30,3,0.0%
4,4.29,3,1.0%
7,4.28,2,2.0%
9,4.24,5,2.7%
14,4.23,8,4.3%
22,4.22,1,7.0%
23,4.21,2,7.3%
25,4.20,6,8.0%
31,4.19,2,10.0%
33,4.18,3,10.7%
36,4.17,1,11.7%
37,4.15,9,12.0%
46,4.14,10,15.0%
56,4.13,2,18.3%
58,4.12,1,19.0%
59,4.11,6,19.3%
65,4.10,9,21.3%
74,4.09,6,24.3%
80,4.08,1,26.3%
81,4.07,3,26.7%
84,4.06,11,27.7%
95,4.05,12,31.3%
107,4.04,2,35.3%
109,4.02,12,36.0%
121,4.01,10,40.0%
131,4.00,6,43.3%
137,3.98,2,45.3%
139,3.97,7,46.0%
146,3.96,11,48.3%
157,3.95,5,52.0%
162,3.94,1,53.7%
163,3.93,9,54.0%
172,3.92,6,57.0%
178,3.91,4,59.0%
182,3.89,1,60.3%
183,3.88,9,60.7%
192,3.87,14,63.7%
206,3.86,2,68.3%
208,3.85,1,69.0%
209,3.84,7,69.3%
216,3.83,6,71.7%
222,3.82,1,73.7%
223,3.79,8,74.0%
231,3.78,7,76.7%
238,3.77,4,79.0%
242,3.75,3,80.3%
245,3.74,4,81.3%
249,3.73,4,82.7%
253,3.72,1,84.0%
254,3.70,9,84.3%
263,3.69,2,87.3%
265,3.68,1,88.0%
266,3.66,2,88.3%
268,3.65,2,89.0%
270,3.64,1,89.7%
271,3.62,1,90.0%
272,3.61,3,90.3%
275,3.60,4,91.3%
279,3.59,1,92.7%
280,3.57,1,93.0%
281,3.56,3,93.3%
284,3.52,1,94.3%
285,3.50,4,94.7%
289,3.47,1,96.0%
290,3.46,1,96.3%
291,3.43,2,96.7%
293,3.42,1,97.3%
294,3.39,1,97.7%
295,3.38,2,98.0%
297,3.36,1,98.7%
298,3.33,1,99.0%
299,3.25,1,99.3%
300,3.24,1,99.7%
