Rank,GPA,People,Top%
1,4.30,3,0.0%
4,4.29,6,1.0%
10,4.28,1,3.0%
11,4.27,1,3.3%
12,4.24,2,3.7%
14,4.23,9,4.3%
23,4.22,3,7.3%
26,4.20,4,8.3%
30,4.19,6,9.7%
36,4.18,3,11.7%
39,4.16,1,12.7%
40,4.15,10,13.0%
50,4.14,4,16.3%
54,4.13,1,17.7%
55,4.12,1,18.0%
56,4.11,12,18.3%
68,4.10,5,22.3%
73,4.09,5,24.0%
78,4.08,1,25.7%
79,4.06,11,26.0%
90,4.05,9,29.7%
99,4.04,7,32.7%
106,4.03,2,35.0%
108,4.02,8,35.7%
116,4.01,7,38.3%
123,4.00,3,40.7%
126,3.98,1,41.7%
127,3.97,11,42.0%
138,3.96,7,45.7%
145,3.95,4,48.0%
149,3.94,1,49.3%
150,3.93,5,49.7%
155,3.92,13,51.3%
168,3.91,3,55.7%
171,3.88,6,56.7%
177,3.87,12,58.7%
189,3.86,4,62.7%
193,3.84,8,64.0%
201,3.83,5,66.7%
206,3.82,3,68.3%
209,3.79,5,69.3%
214,3.78,5,71.0%
219,3.77,4,72.7%
223,3.75,4,74.0%
227,3.74,6,75.3%
233,3.73,6,77.3%
239,3.72,1,79.3%
240,3.70,7,79.7%
247,3.69,5,82.0%
252,3.68,4,83.7%
256,3.66,4,85.0%
260,3.65,6,86.3%
266,3.64,4,88.3%
270,3.62,1,89.7%
271,3.61,3,90.0%
274,3.60,4,91.0%
278,3.59,1,92.3%
279,3.57,1,92.7%
280,3.56,3,93.0%
283,3.52,2,94.0%
285,3.51,1,94.7%
286,3.48,1,95.0%
287,3.47,2,95.3%
289,3.46,1,96.0%
290,3.45,2,96.3%
292,3.43,4,97.0%
296,3.40,1,98.3%
297,3.38,3,98.7%
300,3.16,1,99.7%
