Rank,GPA,People,Top%
1,4.30,1,0.0%
2,4.29,2,0.3%
4,4.28,1,1.0%
5,4.24,2,1.3%
7,4.20,2,2.0%
9,4.16,1,2.7%
10,4.15,1,3.0%
11,4.14,2,3.3%
13,4.12,2,4.0%
15,4.10,1,4.7%
16,4.07,1,5.0%
17,4.06,3,5.3%
20,4.05,1,6.3%
21,4.04,3,6.7%
24,4.03,3,7.7%
27,4.02,5,8.7%
32,4.01,3,10.3%
35,4.00,1,11.3%
36,3.98,2,11.7%
38,3.97,6,12.3%
44,3.96,6,14.3%
50,3.95,1,16.3%
51,3.94,2,16.7%
53,3.93,4,17.3%
57,3.92,3,18.7%
60,3.91,1,19.7%
61,3.89,1,20.0%
62,3.88,5,20.3%
67,3.87,4,22.0%
71,3.86,1,23.3%
72,3.85,4,23.7%
76,3.84,5,25.0%
81,3.83,2,26.7%
83,3.82,5,27.3%
88,3.80,3,29.0%
91,3.79,9,30.0%
100,3.78,3,33.0%
103,3.77,3,34.0%
106,3.76,2,35.0%
108,3.75,2,35.7%
110,3.74,6,36.3%
116,3.73,3,38.3%
119,3.71,7,39.3%
126,3.70,8,41.7%
134,3.69,6,44.3%
140,3.68,4,46.3%
144,3.67,5,47.7%
149,3.66,11,49.3%
160,3.65,1,53.0%
161,3.64,6,53.3%
167,3.62,3,55.3%
170,3.61,4,56.3%
174,3.60,5,57.7%
179,3.59,1,59.3%
180,3.58,2,59.7%
182,3.57,6,60.3%
188,3.56,1,62.3%
189,3.55,7,62.7%
196,3.53,2,65.0%
198,3.52,5,65.7%
203,3.51,6,67.3%
209,3.50,2,69.3%
211,3.48,3,70.0%
214,3.47,4,71.0%
218,3.46,3,72.3%
221,3.45,1,73.3%
222,3.44,3,73.7%
225,3.43,7,74.7%
232,3.42,4,77.0%
236,3.41,3,78.3%
239,3.40,1,79.3%
240,3.39,2,79.7%
242,3.38,4,80.3%
246,3.37,5,81.7%
251,3.36,3,83.3%
254,3.35,4,84.3%
258,3.34,9,85.7%
267,3.33,2,88.7%
269,3.32,2,89.3%
271,3.30,2,90.0%
273,3.29,2,90.7%
275,3.28,4,91.3%
279,3.27,2,92.7%
281,3.26,1,93.3%
282,3.25,4,93.7%
286,3.24,3,95.0%
289,3.23,2,96.0%
291,3.20,3,96.7%
294,3.19,1,97.7%
295,3.15,2,98.0%
297,3.08,1,98.7%
298,3.07,1,99.0%
299,3.02,1,99.3%
300,2.80,1,99.7%
