Rank,GPA,People,Top%
1,4.30,1,0.0%
2,4.29,6,0.3%
8,4.28,1,2.3%
9,4.27,2,2.7%
11,4.24,5,3.3%
16,4.23,6,5.0%
22,4.22,1,7.0%
23,4.21,1,7.3%
24,4.20,8,7.7%
32,4.19,9,10.3%
41,4.18,6,13.3%
47,4.16,2,15.3%
49,4.15,18,16.0%
67,4.14,24,22.0%
91,4.13,7,30.0%
98,4.12,3,32.3%
101,4.11,23,33.3%
124,4.10,22,41.0%
146,4.09,13,48.3%
159,4.06,13,52.7%
172,4.05,13,57.0%
185,4.04,11,61.3%
196,4.02,10,65.0%
206,4.01,18,68.3%
224,4.00,10,74.3%
234,3.99,1,77.7%
235,3.98,1,78.0%
236,3.97,14,78.3%
250,3.96,10,83.0%
260,3.95,10,86.3%
270,3.93,9,89.7%
279,3.92,7,92.7%
286,3.91,2,95.0%
288,3.88,3,95.7%
291,3.87,2,96.7%
293,3.86,2,97.3%
295,3.83,1,98.0%
296,3.81,1,98.3%
297,3.79,2,98.7%
299,3.78,2,99.3%
