Rank,GPA,People,Top%
1,4.30,1,0.0%
2,4.29,4,0.3%
6,4.28,2,1.7%
8,4.27,4,2.3%
12,4.26,1,3.7%
13,4.24,7,4.0%
20,4.23,5,6.3%
25,4.22,3,8.0%
28,4.20,11,9.0%
39,4.19,8,12.7%
47,4.18,5,15.3%
52,4.17,3,17.0%
55,4.16,3,18.0%
58,4.15,13,19.0%
71,4.14,18,23.3%
89,4.13,7,29.3%
96,4.12,2,31.7%
98,4.11,18,32.3%
116,4.10,16,38.3%
132,4.09,16,43.7%
148,4.07,1,49.0%
149,4.06,16,49.3%
165,4.05,17,54.7%
182,4.04,9,60.3%
191,4.03,4,63.3%
195,4.02,15,64.7%
210,4.01,14,69.7%
224,4.00,13,74.3%
237,3.98,1,78.7%
238,3.97,11,79.0%
249,3.96,11,82.7%
260,3.95,8,86.3%
268,3.94,1,89.0%
269,3.93,4,89.3%
273,3.92,5,90.7%
278,3.91,6,92.3%
284,3.87,3,94.3%
287,3.86,4,95.3%
291,3.84,3,96.7%
294,3.83,3,97.7%
297,3.79,2,98.7%
299,3.75,1,99.3%
300,3.68,1,99.7%
