Rank,GPA,People,Top%
1,4.29,9,0.0%
10,4.28,3,3.0%
13,4.24,3,4.0%
16,4.23,10,5.0%
26,4.22,4,8.3%
30,4.20,11,9.7%
41,4.19,7,13.3%
48,4.18,6,15.7%
54,4.16,1,17.7%
55,4.15,7,18.0%
62,4.14,11,20.3%
73,4.13,9,24.0%
82,4.11,14,27.0%
96,4.10,13,31.7%
109,4.09,5,36.0%
114,4.08,3,37.7%
117,4.07,1,38.7%
118,4.06,10,39.0%
128,4.05,10,42.3%
138,4.04,6,45.7%
144,4.02,16,47.7%
160,4.01,13,53.0%
173,4.00,3,57.3%
176,3.99,1,58.3%
177,3.97,15,58.7%
192,3.96,10,63.7%
202,3.95,7,67.0%
209,3.94,3,69.3%
212,3.93,8,70.3%
220,3.92,9,73.0%
229,3.91,6,76.0%
235,3.89,1,78.0%
236,3.88,5,78.3%
241,3.87,7,80.0%
248,3.86,2,82.3%
250,3.84,7,83.0%
257,3.83,6,85.3%
263,3.82,4,87.3%
267,3.80,1,88.7%
268,3.79,3,89.0%
271,3.78,3,90.0%
274,3.77,4,91.0%
278,3.75,1,92.3%
279,3.74,4,92.7%
283,3.73,1,94.0%
284,3.70,2,94.3%
286,3.69,4,95.0%
290,3.68,3,96.3%
293,3.66,2,97.3%
295,3.65,4,98.0%
299,3.60,1,99.3%
300,3.55,1,99.7%
