Rank,GPA,People,Top%
1,4.30,1,0.0%
2,4.29,3,0.3%
5,4.28,2,1.3%
7,4.24,3,2.0%
10,4.23,2,3.0%
12,4.22,5,3.7%
17,4.20,7,5.3%
24,4.19,2,7.7%
26,4.18,5,8.3%
31,4.17,1,10.0%
32,4.16,1,10.3%
33,4.15,5,10.7%
38,4.14,8,12.3%
46,4.13,2,15.0%
48,4.11,8,15.7%
56,4.10,11,18.3%
67,4.09,6,22.0%
73,4.06,15,24.0%
88,4.05,10,29.0%
98,4.04,5,32.3%
103,4.02,6,34.0%
109,4.01,10,36.0%
119,4.00,3,39.3%
122,3.99,1,40.3%
123,3.97,9,40.7%
132,3.96,7,43.7%
139,3.95,4,46.0%
143,3.94,2,47.3%
145,3.93,12,48.0%
157,3.92,8,52.0%
165,3.91,6,54.7%
171,3.88,13,56.7%
184,3.87,8,61.0%
192,3.86,5,63.7%
197,3.85,1,65.3%
198,3.84,13,65.7%
211,3.83,4,70.0%
215,3.82,2,71.3%
217,3.80,1,72.0%
218,3.79,5,72.3%
223,3.78,7,74.0%
230,3.77,2,76.3%
232,3.76,2,77.0%
234,3.75,9,77.7%
243,3.74,8,80.7%
251,3.73,1,83.3%
252,3.70,7,83.7%
259,3.69,5,86.0%
264,3.68,1,87.7%
265,3.66,4,88.0%
269,3.65,3,89.3%
272,3.64,2,90.3%
274,3.63,1,91.0%
275,3.61,7,91.3%
282,3.60,3,93.7%
285,3.59,1,94.7%
286,3.57,1,95.0%
287,3.56,3,95.3%
290,3.52,3,96.3%
293,3.51,1,97.3%
294,3.47,1,97.7%
295,3.46,1,98.0%
296,3.43,2,98.3%
298,3.30,1,99.0%
299,3.27,1,99.3%
300,3.23,1,99.7%
