Rank,GPA,People,Top%
1,4.24,2,0.0%
3,4.22,1,0.7%
4,4.18,1,1.0%
5,4.15,3,1.3%
8,4.14,1,2.3%
9,4.13,1,2.7%
10,4.11,7,3.0%
17,4.10,5,5.3%
22,4.06,4,7.0%
26,4.05,9,8.3%
35,4.04,5,11.3%
40,4.03,1,13.0%
41,4.02,5,13.3%
46,4.01,11,15.0%
57,4.00,4,18.7%
61,3.99,2,20.0%
63,3.97,13,20.7%
76,3.96,9,25.0%
85,3.95,6,28.0%
91,3.94,3,30.0%
94,3.93,15,31.0%
109,3.92,21,36.0%
130,3.91,9,43.0%
139,3.88,15,46.0%
154,3.87,13,51.0%
167,3.86,8,55.3%
175,3.84,6,58.0%
181,3.83,16,60.0%
197,3.82,2,65.3%
199,3.81,2,66.0%
201,3.79,14,66.7%
215,3.78,10,71.3%
225,3.77,7,74.7%
232,3.75,9,77.0%
241,3.74,11,80.0%
252,3.73,3,83.7%
255,3.70,5,84.7%
260,3.69,9,86.3%
269,3.68,2,89.3%
271,3.67,1,90.0%
272,3.66,1,90.3%
273,3.65,2,90.7%
275,3.64,2,91.3%
277,3.61,4,92.0%
281,3.60,5,93.3%
286,3.59,2,95.0%
288,3.56,7,95.7%
295,3.51,1,98.0%
296,3.45,1,98.3%
297,3.42,1,98.7%
298,3.38,2,99.0%
300,3.37,1,99.7%
