Rank,GPA,People,Top%
1,4.29,1,0.0%
2,4.24,2,0.3%
4,4.20,3,1.0%
7,4.18,1,2.0%
8,4.15,4,2.3%
12,4.14,5,3.7%
17,4.13,3,5.3%
20,4.11,4,6.3%
24,4.10,2,7.7%
26,4.09,4,8.3%
30,4.07,1,9.7%
31,4.06,3,10.0%
34,4.05,6,11.0%
40,4.04,1,13.0%
41,4.02,6,13.3%
47,4.01,10,15.3%
57,4.00,5,18.7%
62,3.99,1,20.3%
63,3.98,1,20.7%
64,3.97,11,21.0%
75,3.96,15,24.7%
90,3.95,9,29.7%
99,3.94,3,32.7%
102,3.93,15,33.7%
117,3.92,8,38.7%
125,3.91,7,41.3%
132,3.89,1,43.7%
133,3.88,10,44.0%
143,3.87,13,47.3%
156,3.86,6,51.7%
162,3.85,3,53.7%
165,3.84,16,54.7%
181,3.83,13,60.0%
194,3.82,3,64.3%
197,3.80,1,65.3%
198,3.79,9,65.7%
207,3.78,18,68.7%
225,3.77,5,74.7%
230,3.76,1,76.3%
231,3.75,8,76.7%
239,3.74,8,79.3%
247,3.73,3,82.0%
250,3.71,1,83.0%
251,3.70,3,83.3%
254,3.69,3,84.3%
257,3.68,4,85.3%
261,3.67,1,86.7%
262,3.66,5,87.0%
267,3.65,8,88.7%
275,3.64,4,91.3%
279,3.61,1,92.7%
280,3.60,4,93.0%
284,3.59,5,94.3%
289,3.56,3,96.0%
292,3.51,1,97.0%
293,3.47,4,97.3%
297,3.43,1,98.7%
298,3.41,1,99.0%
299,3.27,2,99.3%
