Rank,GPA,People,Top%
1,4.22,1,0.0%
2,4.20,1,0.3%
3,4.19,2,0.7%
5,4.18,2,1.3%
7,4.15,2,2.0%
9,4.14,2,2.7%
11,4.13,1,3.3%
12,4.11,9,3.7%
21,4.10,2,6.7%
23,4.09,6,7.3%
29,4.06,6,9.3%
35,4.05,7,11.3%
42,4.04,3,13.7%
45,4.03,3,14.7%
48,4.02,10,15.7%
58,4.01,7,19.0%
65,4.00,2,21.3%
67,3.99,1,22.0%
68,3.98,1,22.3%
69,3.97,8,22.7%
77,3.96,13,25.3%
90,3.95,7,29.7%
97,3.94,1,32.0%
98,3.93,8,32.3%
106,3.92,11,35.0%
117,3.91,7,38.7%
124,3.90,1,41.0%
125,3.88,19,41.3%
144,3.87,14,47.7%
158,3.86,9,52.3%
167,3.85,2,55.3%
169,3.84,7,56.0%
176,3.83,14,58.3%
190,3.82,6,63.0%
196,3.79,9,65.0%
205,3.78,7,68.0%
212,3.77,5,70.3%
217,3.75,5,72.0%
222,3.74,10,73.7%
232,3.73,4,77.0%
236,3.71,2,78.3%
238,3.70,7,79.0%
245,3.69,8,81.3%
253,3.68,3,84.0%
256,3.66,9,85.0%
265,3.65,2,88.0%
267,3.64,5,88.7%
272,3.61,4,90.3%
276,3.60,3,91.7%
279,3.59,6,92.7%
285,3.57,2,94.7%
287,3.56,1,95.3%
288,3.55,4,95.7%
292,3.51,3,97.0%
295,3.47,1,98.0%
296,3.46,1,98.3%
297,3.43,1,98.7%
298,3.42,1,99.0%
299,3.41,1,99.3%
300,3.33,1,99.7%
