Rank,GPA,People,Top%
1,4.20,1,0.0%
2,4.19,1,0.3%
3,4.15,3,0.7%
6,4.14,1,1.7%
7,4.13,1,2.0%
8,4.11,2,2.3%
10,4.10,2,3.0%
12,4.09,1,3.7%
13,4.06,8,4.0%
21,4.05,5,6.7%
26,4.04,2,8.3%
28,4.03,1,9.0%
29,4.02,4,9.3%
33,4.01,6,10.7%
39,4.00,1,12.7%
40,3.97,6,13.0%
46,3.96,8,15.0%
54,3.95,1,17.7%
55,3.94,2,18.0%
57,3.93,12,18.7%
69,3.92,11,22.7%
80,3.91,4,26.3%
84,3.90,1,27.7%
85,3.88,9,28.0%
94,3.87,3,31.0%
97,3.86,7,32.0%
104,3.85,2,34.3%
106,3.84,12,35.0%
118,3.83,12,39.0%
130,3.82,6,43.0%
136,3.81,1,45.0%
137,3.80,1,45.3%
138,3.79,8,45.7%
146,3.78,6,48.3%
152,3.77,7,50.3%
159,3.76,1,52.7%
160,3.75,11,53.0%
171,3.74,11,56.7%
182,3.73,6,60.3%
188,3.72,1,62.3%
189,3.71,1,62.7%
190,3.70,5,63.0%
195,3.69,8,64.7%
203,3.68,3,67.3%
206,3.67,1,68.3%
207,3.66,8,68.7%
215,3.65,6,71.3%
221,3.64,6,73.3%
227,3.61,9,75.3%
236,3.60,9,78.3%
245,3.59,4,81.3%
249,3.58,1,82.7%
250,3.57,11,83.0%
261,3.56,4,86.7%
265,3.55,3,88.0%
268,3.53,1,89.0%
269,3.52,3,89.3%
272,3.51,2,90.3%
274,3.49,1,91.0%
275,3.48,1,91.3%
276,3.47,5,91.7%
281,3.46,3,93.3%
284,3.45,2,94.3%
286,3.43,3,95.0%
289,3.42,1,96.0%
290,3.41,2,96.3%
292,3.38,1,97.0%
293,3.37,2,97.3%
295,3.36,1,98.0%
296,3.34,1,98.3%
297,3.28,1,98.7%
298,3.25,1,99.0%
299,3.24,1,99.3%
300,3.09,1,99.7%
