Rank,GPA,People,Top%
1,4.20,1,0.0%
2,4.15,1,0.3%
3,4.11,3,0.7%
6,4.07,2,1.7%
8,4.06,3,2.3%
11,4.05,2,3.3%
13,4.04,2,4.0%
15,4.02,5,4.7%
20,4.01,4,6.3%
24,4.00,5,7.7%
29,3.99,1,9.3%
30,3.98,2,9.7%
32,3.97,6,10.3%
38,3.96,4,12.3%
42,3.95,5,13.7%
47,3.94,1,15.3%
48,3.93,10,15.7%
58,3.92,9,19.0%
67,3.91,4,22.0%
71,3.88,12,23.3%
83,3.87,7,27.3%
90,3.86,12,29.7%
102,3.84,9,33.7%
111,3.83,13,36.7%
124,3.82,3,41.0%
127,3.79,10,42.0%
137,3.78,7,45.3%
144,3.77,10,47.7%
154,3.76,1,51.0%
155,3.75,14,51.3%
169,3.74,10,56.0%
179,3.73,6,59.3%
185,3.70,13,61.3%
198,3.69,10,65.7%
208,3.68,2,69.0%
210,3.66,4,69.7%
214,3.65,7,71.0%
221,3.64,6,73.3%
227,3.63,3,75.3%
230,3.61,8,76.3%
238,3.60,6,79.0%
244,3.59,8,81.0%
252,3.58,1,83.7%
253,3.57,3,84.0%
256,3.56,3,85.0%
259,3.55,5,86.0%
264,3.52,4,87.7%
268,3.51,3,89.0%
271,3.50,3,90.0%
274,3.47,2,91.0%
276,3.46,1,91.7%
277,3.44,2,92.0%
279,3.43,5,92.7%
284,3.42,5,94.3%
289,3.38,3,96.0%
292,3.37,4,97.0%
296,3.36,1,98.3%
297,3.34,3,98.7%
300,3.29,1,99.7%
