Rank,GPA,People,Top%
1,4.24,1,0.0%
2,4.22,1,0.3%
3,4.19,2,0.7%
5,4.15,1,1.3%
6,4.14,2,1.7%
8,4.13,2,2.3%
10,4.10,5,3.0%
15,4.09,1,4.7%
16,4.06,5,5.0%
21,4.05,2,6.7%
23,4.04,5,7.3%
28,4.03,2,9.0%
30,4.02,4,9.7%
34,4.01,6,11.0%
40,4.00,5,13.0%
45,3.98,1,14.7%
46,3.97,10,15.0%
56,3.96,9,18.3%
65,3.95,5,21.3%
70,3.93,8,23.0%
78,3.92,11,25.7%
89,3.91,1,29.3%
90,3.88,12,29.7%
102,3.87,10,33.7%
112,3.86,9,37.0%
121,3.84,12,40.0%
133,3.83,5,44.0%
138,3.82,1,45.7%
139,3.80,1,46.0%
140,3.79,10,46.3%
150,3.78,8,49.7%
158,3.77,1,52.3%
159,3.76,2,52.7%
161,3.75,13,53.3%
174,3.74,10,57.7%
184,3.73,5,61.0%
189,3.72,1,62.7%
190,3.70,6,63.0%
196,3.69,10,65.0%
206,3.68,7,68.3%
213,3.67,2,70.7%
215,3.66,9,71.3%
224,3.65,10,74.3%
234,3.64,6,77.7%
240,3.61,6,79.7%
246,3.60,8,81.7%
254,3.59,4,84.3%
258,3.57,7,85.7%
265,3.56,2,88.0%
267,3.55,4,88.7%
271,3.52,3,90.0%
274,3.51,4,91.0%
278,3.50,3,92.3%
281,3.47,3,93.3%
284,3.46,4,94.3%
288,3.45,1,95.7%
289,3.43,1,96.0%
290,3.42,2,96.3%
292,3.41,2,97.0%
294,3.40,1,97.7%
295,3.38,2,98.0%
297,3.37,1,98.7%
298,3.34,1,99.0%
299,3.24,1,99.3%
300,3.23,1,99.7%
