Rank,GPA,People,Top%
1,4.18,1,0.0%
2,4.15,1,0.3%
3,4.12,1,0.7%
4,4.07,1,1.0%
5,4.06,3,1.3%
8,4.03,1,2.3%
9,4.02,2,2.7%
11,4.01,3,3.3%
14,4.00,3,4.3%
17,3.97,10,5.3%
27,3.96,6,8.7%
33,3.95,4,10.7%
37,3.94,3,12.0%
40,3.93,9,13.0%
49,3.92,8,16.0%
57,3.91,3,18.7%
60,3.89,4,19.7%
64,3.88,16,21.0%
80,3.87,11,26.3%
91,3.86,6,30.0%
97,3.84,9,32.0%
106,3.83,20,35.0%
126,3.82,10,41.7%
136,3.81,2,45.0%
138,3.80,1,45.7%
139,3.79,12,46.0%
151,3.78,16,50.0%
167,3.77,8,55.3%
175,3.76,2,58.0%
177,3.75,21,58.7%
198,3.74,12,65.7%
210,3.73,5,69.7%
215,3.71,2,71.3%
217,3.70,16,72.0%
233,3.69,11,77.3%
244,3.68,10,81.0%
254,3.67,1,84.3%
255,3.66,11,84.7%
266,3.65,5,88.3%
271,3.64,4,90.0%
275,3.62,1,91.3%
276,3.61,5,91.7%
281,3.60,5,93.3%
286,3.59,3,95.0%
289,3.58,1,96.0%
290,3.57,1,96.3%
291,3.56,3,96.7%
294,3.55,3,97.7%
297,3.52,1,98.7%
298,3.50,1,99.0%
299,3.47,1,99.3%
300,3.44,1,99.7%
