Rank,GPA,People,Top%
1,4.20,1,0.0%
2,4.11,1,0.3%
3,4.09,1,0.7%
4,4.06,1,1.0%
5,4.05,2,1.3%
7,4.03,1,2.0%
8,4.02,4,2.3%
12,4.01,4,3.7%
16,4.00,1,5.0%
17,3.99,1,5.3%
18,3.98,1,5.7%
19,3.97,11,6.0%
30,3.96,9,9.7%
39,3.95,1,12.7%
40,3.93,5,13.0%
45,3.92,4,14.7%
49,3.91,7,16.0%
56,3.88,18,18.3%
74,3.87,11,24.3%
85,3.86,6,28.0%
91,3.85,2,30.0%
93,3.84,15,30.7%
108,3.83,10,35.7%
118,3.82,5,39.0%
123,3.80,2,40.7%
125,3.79,18,41.3%
143,3.78,15,47.3%
158,3.77,5,52.3%
163,3.76,4,54.0%
167,3.75,19,55.3%
186,3.74,19,61.7%
205,3.73,6,68.0%
211,3.72,1,70.0%
212,3.71,2,70.3%
214,3.70,12,71.0%
226,3.69,14,75.0%
240,3.68,2,79.7%
242,3.67,1,80.3%
243,3.66,6,80.7%
249,3.65,10,82.7%
259,3.64,6,86.0%
265,3.61,11,88.0%
276,3.60,5,91.7%
281,3.59,6,93.3%
287,3.58,1,95.3%
288,3.57,4,95.7%
292,3.56,2,97.0%
294,3.55,2,97.7%
296,3.54,1,98.3%
297,3.52,1,98.7%
298,3.49,1,99.0%
299,3.47,2,99.3%
