Rank,GPA,People,Top%
1,4.24,1,0.0%
2,4.21,1,0.3%
3,4.20,1,0.7%
4,4.15,1,1.0%
5,4.14,2,1.3%
7,4.11,3,2.0%
10,4.10,2,3.0%
12,4.09,1,3.7%
13,4.06,5,4.0%
18,4.05,8,5.7%
26,4.02,10,8.3%
36,4.01,14,11.7%
50,4.00,4,16.3%
54,3.98,1,17.7%
55,3.97,11,18.0%
66,3.96,15,21.7%
81,3.95,7,26.7%
88,3.94,1,29.0%
89,3.93,13,29.3%
102,3.92,12,33.7%
114,3.91,5,37.7%
119,3.89,2,39.3%
121,3.88,13,40.0%
134,3.87,12,44.3%
146,3.86,4,48.3%
150,3.85,1,49.7%
151,3.84,14,50.0%
165,3.83,17,54.7%
182,3.82,5,60.3%
187,3.79,15,62.0%
202,3.78,12,67.0%
214,3.77,4,71.0%
218,3.76,1,72.3%
219,3.75,11,72.7%
230,3.74,8,76.3%
238,3.73,5,79.0%
243,3.72,2,80.7%
245,3.71,1,81.3%
246,3.70,8,81.7%
254,3.69,11,84.3%
265,3.68,2,88.0%
267,3.67,1,88.7%
268,3.66,2,89.0%
270,3.65,6,89.7%
276,3.64,2,91.7%
278,3.63,1,92.3%
279,3.61,2,92.7%
281,3.60,2,93.3%
283,3.59,2,94.0%
285,3.58,1,94.7%
286,3.57,5,95.0%
291,3.56,2,96.7%
293,3.55,1,97.3%
294,3.52,3,97.7%
297,3.46,1,98.7%
298,3.45,1,99.0%
299,3.42,1,99.3%
300,3.34,1,99.7%
