Rank,GPA,People,Top%
1,4.16,1,0.0%
2,4.15,2,0.3%
4,4.14,1,1.0%
5,4.11,1,1.3%
6,4.06,4,1.7%
10,4.05,3,3.0%
13,4.04,1,4.0%
14,4.02,5,4.3%
19,4.01,1,6.0%
20,4.00,1,6.3%
21,3.98,1,6.7%
22,3.97,7,7.0%
29,3.96,5,9.3%
34,3.95,1,11.0%
35,3.94,2,11.3%
37,3.93,6,12.0%
43,3.92,4,14.0%
47,3.91,5,15.3%
52,3.89,1,17.0%
53,3.88,10,17.3%
63,3.87,13,20.7%
76,3.86,8,25.0%
84,3.85,2,27.7%
86,3.84,11,28.3%
97,3.83,14,32.0%
111,3.82,3,36.7%
114,3.79,9,37.7%
123,3.78,10,40.7%
133,3.77,11,44.0%
144,3.76,2,47.7%
146,3.75,12,48.3%
158,3.74,12,52.3%
170,3.73,3,56.3%
173,3.72,2,57.3%
175,3.71,2,58.0%
177,3.70,12,58.7%
189,3.69,11,62.7%
200,3.68,4,66.3%
204,3.67,2,67.7%
206,3.66,2,68.3%
208,3.65,8,69.0%
216,3.64,5,71.7%
221,3.62,1,73.3%
222,3.61,6,73.7%
228,3.60,5,75.7%
233,3.59,4,77.3%
237,3.57,6,78.7%
243,3.56,4,80.7%
247,3.55,4,82.0%
251,3.52,5,83.3%
256,3.51,3,85.0%
259,3.50,7,86.0%
266,3.47,8,88.3%
274,3.46,4,91.0%
278,3.45,3,92.3%
281,3.43,4,93.3%
285,3.42,3,94.7%
288,3.41,2,95.7%
290,3.38,1,96.3%
291,3.37,2,96.7%
293,3.36,2,97.3%
295,3.35,1,98.0%
296,3.32,1,98.3%
297,3.29,1,98.7%
298,3.24,1,99.0%
299,3.08,1,99.3%
300,3.07,1,99.7%
