Rank,GPA,People,Top%
1,4.30,22,0.0%
23,4.29,24,7.3%
47,4.28,7,15.3%
54,4.27,7,17.7%
61,4.26,1,20.0%
62,4.25,1,20.3%
63,4.24,9,20.7%
72,4.23,15,23.7%
87,4.22,5,28.7%
92,4.21,2,30.3%
94,4.20,15,31.0%
109,4.19,11,36.0%
120,4.18,7,39.7%
127,4.17,1,42.0%
128,4.16,1,42.3%
129,4.15,11,42.7%
140,4.14,18,46.3%
158,4.13,4,52.3%
162,4.11,15,53.7%
177,4.10,13,58.7%
190,4.09,4,63.0%
194,4.06,19,64.3%
213,4.05,7,70.7%
220,4.04,4,73.0%
224,4.02,7,74.3%
231,4.01,10,76.7%
241,4.00,4,80.0%
245,3.97,8,81.3%
253,3.96,6,84.0%
259,3.95,2,86.0%
261,3.94,1,86.7%
262,3.93,3,87.0%
265,3.92,7,88.0%
272,3.91,2,90.3%
274,3.88,4,91.0%
278,3.87,5,92.3%
283,3.85,1,94.0%
284,3.84,1,94.3%
285,3.80,1,94.7%
286,3.79,3,95.0%
289,3.78,2,96.0%
291,3.77,3,96.7%
294,3.70,1,97.7%
295,3.69,2,98.0%
297,3.53,1,98.7%
298,3.52,1,99.0%
299,3.50,1,99.3%
300,3.41,1,99.7%
