Rank,GPA,People,Top%
1,4.30,12,0.0%
13,4.29,17,4.0%
30,4.28,10,9.7%
40,4.27,3,13.0%
43,4.24,18,14.0%
61,4.23,18,20.0%
79,4.22,14,26.0%
93,4.21,2,30.7%
95,4.20,15,31.3%
110,4.19,15,36.3%
125,4.18,9,41.3%
134,4.16,2,44.3%
136,4.15,15,45.0%
151,4.14,16,50.0%
167,4.13,3,55.3%
170,4.12,1,56.3%
171,4.11,17,56.7%
188,4.10,13,62.3%
201,4.09,11,66.7%
212,4.08,1,70.3%
213,4.06,9,70.7%
222,4.05,8,73.7%
230,4.04,7,76.3%
237,4.03,2,78.7%
239,4.02,5,79.3%
244,4.01,5,81.0%
249,3.99,1,82.7%
250,3.98,2,83.0%
252,3.97,4,83.7%
256,3.96,7,85.0%
263,3.95,4,87.3%
267,3.94,2,88.7%
269,3.93,4,89.3%
273,3.92,5,90.7%
278,3.91,3,92.3%
281,3.90,1,93.3%
282,3.87,4,93.7%
286,3.86,1,95.0%
287,3.84,1,95.3%
288,3.83,4,95.7%
292,3.82,1,97.0%
293,3.79,1,97.3%
294,3.78,3,97.7%
297,3.75,1,98.7%
298,3.70,1,99.0%
299,3.69,1,99.3%
300,3.68,1,99.7%
