Rank,GPA,People,Top%
1,4.30,19,0.0%
20,4.29,28,6.3%
48,4.28,9,15.7%
57,4.27,8,18.7%
65,4.24,15,21.3%
80,4.23,12,26.3%
92,4.22,7,30.3%
99,4.21,1,32.7%
100,4.20,12,33.0%
112,4.19,9,37.0%
121,4.18,4,40.0%
125,4.17,1,41.3%
126,4.16,3,41.7%
129,4.15,8,42.7%
137,4.14,16,45.3%
153,4.13,9,50.7%
162,4.12,4,53.7%
166,4.11,14,55.0%
180,4.10,7,59.7%
187,4.09,5,62.0%
192,4.07,2,63.7%
194,4.06,9,64.3%
203,4.05,7,67.3%
210,4.04,10,69.7%
220,4.03,1,73.0%
221,4.02,12,73.3%
233,4.01,11,77.3%
244,4.00,2,81.0%
246,3.97,7,81.7%
253,3.96,6,84.0%
259,3.93,4,86.0%
263,3.92,5,87.3%
268,3.91,3,89.0%
271,3.89,1,90.0%
272,3.88,1,90.3%
273,3.87,3,90.7%
276,3.86,3,91.7%
279,3.84,2,92.7%
281,3.83,2,93.3%
283,3.82,1,94.0%
284,3.79,1,94.3%
285,3.78,2,94.7%
287,3.77,3,95.3%
290,3.75,2,96.3%
292,3.74,1,97.0%
293,3.68,1,97.3%
294,3.67,1,97.7%
295,3.66,1,98.0%
296,3.65,1,98.3%
297,3.61,1,98.7%
298,3.60,2,99.0%
300,3.54,1,99.7%
