Rank,GPA,People,Top%
1,4.30,25,0.0%
26,4.29,13,8.3%
39,4.28,4,12.7%
43,4.27,2,14.0%
45,4.25,3,14.7%
48,4.24,12,15.7%
60,4.23,19,19.7%
79,4.22,7,26.0%
86,4.21,4,28.3%
90,4.20,12,29.7%
102,4.19,9,33.7%
111,4.18,2,36.7%
113,4.15,16,37.3%
129,4.14,9,42.7%
138,4.13,7,45.7%
145,4.12,1,48.0%
146,4.11,16,48.3%
162,4.10,7,53.7%
169,4.09,3,56.0%
172,4.08,1,57.0%
173,4.07,2,57.3%
175,4.06,12,58.0%
187,4.05,7,62.0%
194,4.04,4,64.3%
198,4.03,3,65.7%
201,4.02,7,66.7%
208,4.01,14,69.0%
222,4.00,3,73.7%
225,3.99,1,74.7%
226,3.97,5,75.0%
231,3.96,4,76.7%
235,3.93,6,78.0%
241,3.92,6,80.0%
247,3.91,2,82.0%
249,3.90,1,82.7%
250,3.88,5,83.0%
255,3.87,7,84.7%
262,3.86,1,87.0%
263,3.84,2,87.3%
265,3.83,2,88.0%
267,3.82,1,88.7%
268,3.79,2,89.0%
270,3.78,4,89.7%
274,3.77,2,91.0%
276,3.76,1,91.7%
277,3.75,5,92.0%
282,3.74,1,93.7%
283,3.73,1,94.0%
284,3.69,2,94.3%
286,3.68,1,95.0%
287,3.67,1,95.3%
288,3.65,2,95.7%
290,3.61,1,96.3%
291,3.57,3,96.7%
294,3.56,3,97.7%
297,3.50,1,98.7%
298,3.43,1,99.0%
299,3.38,1,99.3%
300,3.32,1,99.7%
