Rank,GPA,People,Top%
1,4.30,34,0.0%
35,4.29,12,11.3%
47,4.28,13,15.3%
60,4.27,5,19.7%
65,4.25,1,21.3%
66,4.24,13,21.7%
79,4.23,9,26.0%
88,4.22,8,29.0%
96,4.21,2,31.7%
98,4.20,14,32.3%
112,4.19,17,37.0%
129,4.18,6,42.7%
135,4.17,1,44.7%
136,4.15,16,45.0%
152,4.14,9,50.3%
161,4.13,2,53.3%
163,4.12,2,54.0%
165,4.11,8,54.7%
173,4.10,11,57.3%
184,4.09,4,61.0%
188,4.07,1,62.3%
189,4.06,5,62.7%
194,4.05,11,64.3%
205,4.04,2,68.0%
207,4.02,8,68.7%
215,4.01,6,71.3%
221,4.00,8,73.3%
229,3.97,5,76.0%
234,3.96,4,77.7%
238,3.95,4,79.0%
242,3.94,1,80.3%
243,3.93,4,80.7%
247,3.92,5,82.0%
252,3.89,1,83.7%
253,3.88,3,84.0%
256,3.87,4,85.0%
260,3.86,2,86.3%
262,3.84,3,87.0%
265,3.83,3,88.0%
268,3.82,1,89.0%
269,3.81,1,89.3%
270,3.79,1,89.7%
271,3.77,5,90.0%
276,3.75,1,91.7%
277,3.74,3,92.0%
280,3.73,1,93.0%
281,3.70,2,93.3%
283,3.69,1,94.0%
284,3.64,2,94.3%
286,3.61,2,95.0%
288,3.60,4,95.7%
292,3.59,1,97.0%
293,3.56,1,97.3%
294,3.50,2,97.7%
296,3.37,1,98.3%
297,3.33,2,98.7%
299,3.15,1,99.3%
300,3.02,1,99.7%
