Rank,GPA,People,Top%
1,3.94,1,0.0%
2,3.93,2,0.3%
4,3.89,2,1.0%
6,3.88,1,1.7%
7,3.87,3,2.0%
10,3.85,1,3.0%
11,3.84,4,3.3%
15,3.83,2,4.7%
17,3.82,3,5.3%
20,3.80,5,6.3%
25,3.79,10,8.0%
35,3.78,6,11.3%
41,3.77,5,13.3%
46,3.76,10,15.0%
56,3.75,25,18.3%
81,3.74,17,26.7%
98,3.73,13,32.3%
111,3.71,26,36.7%
137,3.70,30,45.3%
167,3.69,21,55.3%
188,3.68,12,62.3%
200,3.67,8,66.3%
208,3.66,21,69.0%
229,3.65,24,76.0%
253,3.64,7,84.0%
260,3.62,8,86.3%
268,3.61,7,89.0%
275,3.60,6,91.3%
281,3.59,5,93.3%
286,3.57,3,95.0%
289,3.56,4,96.0%
293,3.55,3,97.3%
296,3.52,1,98.3%
297,3.51,1,98.7%
298,3.50,1,99.0%
299,3.48,1,99.3%
300,3.43,1,99.7%
