Rank,GPA,People,Top%
1,4.20,2,0.0%
3,4.19,1,0.7%
4,4.18,1,1.0%
5,4.16,1,1.3%
6,4.15,2,1.7%
8,4.13,3,2.3%
11,4.12,1,3.3%
12,4.11,5,3.7%
17,4.10,2,5.3%
19,4.06,8,6.0%
27,4.05,5,8.7%
32,4.04,4,10.3%
36,4.03,2,11.7%
38,4.02,18,12.3%
56,4.01,13,18.3%
69,4.00,5,22.7%
74,3.98,2,24.3%
76,3.97,5,25.0%
81,3.96,10,26.7%
91,3.95,5,30.0%
96,3.94,6,31.7%
102,3.93,14,33.7%
116,3.92,25,38.3%
141,3.91,9,46.7%
150,3.90,2,49.7%
152,3.89,3,50.3%
155,3.88,21,51.3%
176,3.87,20,58.3%
196,3.86,8,65.0%
204,3.85,1,67.7%
205,3.84,14,68.0%
219,3.83,13,72.7%
232,3.82,6,77.0%
238,3.81,1,79.0%
239,3.80,1,79.3%
240,3.79,10,79.7%
250,3.78,14,83.0%
264,3.77,4,87.7%
268,3.75,8,89.0%
276,3.74,7,91.7%
283,3.73,4,94.0%
287,3.71,1,95.3%
288,3.70,3,95.7%
291,3.69,1,96.7%
292,3.68,2,97.0%
294,3.66,2,97.7%
296,3.65,1,98.3%
297,3.61,1,98.7%
298,3.60,2,99.0%
300,3.59,1,99.7%
