Rank,GPA,People,Top%
1,4.30,21,0.0%
22,4.29,22,7.0%
44,4.28,13,14.3%
57,4.27,5,18.7%
62,4.25,1,20.3%
63,4.24,12,20.7%
75,4.23,7,24.7%
82,4.22,8,27.0%
90,4.21,2,29.7%
92,4.20,8,30.3%
100,4.19,17,33.0%
117,4.18,7,38.7%
124,4.17,1,41.0%
125,4.16,1,41.3%
126,4.15,7,41.7%
133,4.14,13,44.0%
146,4.13,10,48.3%
156,4.12,2,51.7%
158,4.11,9,52.3%
167,4.10,19,55.3%
186,4.09,4,61.7%
190,4.08,1,63.0%
191,4.07,2,63.3%
193,4.06,8,64.0%
201,4.05,13,66.7%
214,4.04,6,71.0%
220,4.03,3,73.0%
223,4.02,7,74.0%
230,4.01,7,76.3%
237,4.00,8,78.7%
245,3.97,10,81.3%
255,3.96,2,84.7%
257,3.95,1,85.3%
258,3.94,1,85.7%
259,3.93,12,86.0%
271,3.92,5,90.0%
276,3.91,4,91.7%
280,3.88,3,93.0%
283,3.87,1,94.0%
284,3.86,1,94.3%
285,3.84,1,94.7%
286,3.83,1,95.0%
287,3.82,1,95.3%
288,3.79,1,95.7%
289,3.78,1,96.0%
290,3.75,1,96.3%
291,3.74,2,96.7%
293,3.71,1,97.3%
294,3.70,1,97.7%
295,3.69,1,98.0%
296,3.66,1,98.3%
297,3.65,1,98.7%
298,3.64,2,99.0%
300,3.50,1,99.7%
