Rank,GPA,People,Top%
1,4.30,25,0.0%
26,4.29,16,8.3%
42,4.28,6,13.7%
48,4.27,2,15.7%
50,4.24,16,16.3%
66,4.23,12,21.7%
78,4.22,6,25.7%
84,4.21,3,27.7%
87,4.20,4,28.7%
91,4.19,10,30.0%
101,4.18,8,33.3%
109,4.15,11,36.0%
120,4.14,9,39.7%
129,4.13,6,42.7%
135,4.12,2,44.7%
137,4.11,11,45.3%
148,4.10,8,49.0%
156,4.09,8,51.7%
164,4.08,1,54.3%
165,4.07,1,54.7%
166,4.06,6,55.0%
172,4.05,12,57.0%
184,4.04,3,61.0%
187,4.02,6,62.0%
193,4.01,15,64.0%
208,4.00,5,69.0%
213,3.99,1,70.7%
214,3.97,4,71.0%
218,3.96,7,72.3%
225,3.95,1,74.7%
226,3.94,1,75.0%
227,3.93,6,75.3%
233,3.92,8,77.3%
241,3.91,3,80.0%
244,3.89,1,81.0%
245,3.88,4,81.3%
249,3.87,4,82.7%
253,3.86,4,84.0%
257,3.85,1,85.3%
258,3.84,2,85.7%
260,3.83,1,86.3%
261,3.82,2,86.7%
263,3.79,2,87.3%
265,3.78,4,88.0%
269,3.77,1,89.3%
270,3.75,4,89.7%
274,3.74,2,91.0%
276,3.73,2,91.7%
278,3.70,5,92.3%
283,3.69,1,94.0%
284,3.67,1,94.3%
285,3.66,1,94.7%
286,3.65,2,95.0%
288,3.64,1,95.7%
289,3.61,1,96.0%
290,3.60,1,96.3%
291,3.59,1,96.7%
292,3.58,1,97.0%
293,3.57,2,97.3%
295,3.56,1,98.0%
296,3.55,1,98.3%
297,3.51,1,98.7%
298,3.47,2,99.0%
300,3.43,1,99.7%
