Rank,GPA,People,Top%
1,4.24,1,0.0%
2,4.20,1,0.3%
3,4.14,3,0.7%
6,4.13,2,1.7%
8,4.11,2,2.3%
10,4.10,7,3.0%
17,4.09,2,5.3%
19,4.06,5,6.0%
24,4.05,6,7.7%
30,4.04,1,9.7%
31,4.03,1,10.0%
32,4.02,12,10.3%
44,4.01,5,14.3%
49,4.00,4,16.0%
53,3.98,2,17.3%
55,3.97,11,18.0%
66,3.96,12,21.7%
78,3.95,4,25.7%
82,3.93,21,27.0%
103,3.92,13,34.0%
116,3.91,4,38.3%
120,3.90,1,39.7%
121,3.89,2,40.0%
123,3.88,11,40.7%
134,3.87,15,44.3%
149,3.86,7,49.3%
156,3.85,3,51.7%
159,3.84,12,52.7%
171,3.83,20,56.7%
191,3.82,6,63.3%
197,3.80,1,65.3%
198,3.79,20,65.7%
218,3.78,10,72.3%
228,3.77,9,75.7%
237,3.76,1,78.7%
238,3.75,9,79.0%
247,3.74,13,82.0%
260,3.73,5,86.3%
265,3.72,1,88.0%
266,3.71,3,88.3%
269,3.70,10,89.3%
279,3.69,8,92.7%
287,3.68,3,95.3%
290,3.66,4,96.3%
294,3.65,2,97.7%
296,3.64,1,98.3%
297,3.61,1,98.7%
298,3.60,2,99.0%
300,3.59,1,99.7%
