Rank,GPA,People,Top%
1,4.30,4,0.0%
5,4.29,5,1.3%
10,4.28,3,3.0%
13,4.27,1,4.0%
14,4.23,4,4.3%
18,4.22,1,5.7%
19,4.20,3,6.0%
22,4.19,3,7.0%
25,4.18,4,8.0%
29,4.15,4,9.3%
33,4.14,6,10.7%
39,4.13,2,12.7%
41,4.11,3,13.3%
44,4.10,7,14.3%
51,4.07,1,16.7%
52,4.06,10,17.0%
62,4.05,6,20.3%
68,4.04,2,22.3%
70,4.02,8,23.0%
78,4.01,4,25.7%
82,4.00,2,27.0%
84,3.97,7,27.7%
91,3.96,4,30.0%
95,3.95,3,31.3%
98,3.93,10,32.3%
108,3.92,12,35.7%
120,3.91,5,39.7%
125,3.88,5,41.3%
130,3.87,10,43.0%
140,3.86,3,46.3%
143,3.85,1,47.3%
144,3.84,4,47.7%
148,3.83,5,49.0%
153,3.82,4,50.7%
157,3.79,4,52.0%
161,3.78,10,53.3%
171,3.77,6,56.7%
177,3.76,1,58.7%
178,3.75,8,59.0%
186,3.74,5,61.7%
191,3.73,2,63.3%
193,3.70,9,64.0%
202,3.69,4,67.0%
206,3.68,5,68.3%
211,3.67,2,70.0%
213,3.66,3,70.7%
216,3.65,8,71.7%
224,3.64,3,74.3%
227,3.61,3,75.3%
230,3.60,7,76.3%
237,3.59,2,78.7%
239,3.57,2,79.3%
241,3.56,4,80.0%
245,3.55,3,81.3%
248,3.54,1,82.3%
249,3.53,1,82.7%
250,3.52,4,83.0%
254,3.51,4,84.3%
258,3.50,2,85.7%
260,3.47,4,86.3%
264,3.46,2,87.7%
266,3.45,1,88.3%
267,3.44,1,88.7%
268,3.43,4,89.0%
272,3.42,5,90.3%
277,3.41,1,92.0%
278,3.38,4,92.3%
282,3.37,1,93.7%
283,3.34,1,94.0%
284,3.33,1,94.3%
285,3.32,1,94.7%
286,3.29,1,95.0%
287,3.28,2,95.3%
289,3.25,1,96.0%
290,3.24,3,96.3%
293,3.23,3,97.3%
296,3.20,1,98.3%
297,3.16,2,98.7%
299,3.07,1,99.3%
300,2.92,1,99.7%
