Rank,GPA,People,Top%
1,4.30,10,0.0%
11,4.29,10,3.3%
21,4.28,8,6.7%
29,4.27,7,9.3%
36,4.24,13,11.7%
49,4.23,8,16.0%
57,4.22,5,18.7%
62,4.21,2,20.3%
64,4.20,7,21.0%
71,4.19,2,23.3%
73,4.18,5,24.0%
78,4.16,1,25.7%
79,4.15,11,26.0%
90,4.14,3,29.7%
93,4.13,4,30.7%
97,4.12,6,32.0%
103,4.11,10,34.0%
113,4.10,9,37.3%
122,4.09,7,40.3%
129,4.08,1,42.7%
130,4.07,1,43.0%
131,4.06,11,43.3%
142,4.05,11,47.0%
153,4.04,4,50.7%
157,4.02,7,52.0%
164,4.01,9,54.3%
173,4.00,7,57.3%
180,3.99,1,59.7%
181,3.97,6,60.0%
187,3.96,10,62.0%
197,3.95,3,65.3%
200,3.93,7,66.3%
207,3.92,7,68.7%
214,3.91,3,71.0%
217,3.90,2,72.0%
219,3.88,17,72.7%
236,3.87,5,78.3%
241,3.86,3,80.0%
244,3.84,3,81.0%
247,3.83,5,82.0%
252,3.82,4,83.7%
256,3.81,1,85.0%
257,3.79,7,85.3%
264,3.78,3,87.7%
267,3.77,3,88.7%
270,3.75,3,89.7%
273,3.74,3,90.7%
276,3.73,1,91.7%
277,3.71,1,92.0%
278,3.70,6,92.3%
284,3.69,5,94.3%
289,3.66,3,96.0%
292,3.65,4,97.0%
296,3.64,1,98.3%
297,3.62,1,98.7%
298,3.57,1,99.0%
299,3.55,1,99.3%
300,3.52,1,99.7%
