Rank,GPA,People,Top%
1,4.29,3,0.0%
4,4.28,1,1.0%
5,4.23,1,1.3%
6,4.22,4,1.7%
10,4.20,3,3.0%
13,4.19,3,4.0%
16,4.18,4,5.0%
20,4.15,8,6.3%
28,4.14,6,9.0%
34,4.12,2,11.0%
36,4.11,7,11.7%
43,4.10,8,14.0%
51,4.09,6,16.7%
57,4.06,15,18.7%
72,4.05,9,23.7%
81,4.04,4,26.7%
85,4.03,2,28.0%
87,4.02,12,28.7%
99,4.01,14,32.7%
113,4.00,8,37.3%
121,3.98,1,40.0%
122,3.97,8,40.3%
130,3.96,11,43.0%
141,3.95,8,46.7%
149,3.94,3,49.3%
152,3.93,12,50.3%
164,3.92,15,54.3%
179,3.91,7,59.3%
186,3.90,2,61.7%
188,3.89,1,62.3%
189,3.88,15,62.7%
204,3.87,11,67.7%
215,3.86,7,71.3%
222,3.84,9,73.7%
231,3.83,6,76.7%
237,3.82,5,78.7%
242,3.79,8,80.3%
250,3.78,8,83.0%
258,3.77,2,85.7%
260,3.75,5,86.3%
265,3.74,3,88.0%
268,3.73,5,89.0%
273,3.72,1,90.7%
274,3.70,4,91.0%
278,3.69,4,92.3%
282,3.68,3,93.7%
285,3.66,1,94.7%
286,3.65,3,95.0%
289,3.64,2,96.0%
291,3.60,1,96.7%
292,3.59,3,97.0%
295,3.58,1,98.0%
296,3.57,2,98.3%
298,3.56,1,99.0%
299,3.55,1,99.3%
300,3.50,1,99.7%
