Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,3,0.7%
6,4.24,1,1.7%
7,4.20,6,2.0%
13,4.19,4,4.0%
17,4.18,1,5.3%
18,4.15,4,5.7%
22,4.14,2,7.0%
24,4.13,3,7.7%
27,4.11,8,8.7%
35,4.10,6,11.3%
41,4.09,5,13.3%
46,4.08,1,15.0%
47,4.06,8,15.3%
55,4.05,9,18.0%
64,4.04,4,21.0%
68,4.03,1,22.3%
69,4.02,10,22.7%
79,4.01,10,26.0%
89,4.00,5,29.3%
94,3.97,7,31.0%
101,3.96,6,33.3%
107,3.95,6,35.3%
113,3.94,1,37.3%
114,3.93,7,37.7%
121,3.92,18,40.0%
139,3.91,6,46.0%
145,3.88,7,48.0%
152,3.87,8,50.3%
160,3.86,5,53.0%
165,3.84,11,54.7%
176,3.83,4,58.3%
180,3.82,7,59.7%
187,3.81,1,62.0%
188,3.80,2,62.3%
190,3.79,5,63.0%
195,3.78,5,64.7%
200,3.77,6,66.3%
206,3.76,2,68.3%
208,3.75,6,69.0%
214,3.74,7,71.0%
221,3.73,5,73.3%
226,3.71,1,75.0%
227,3.70,7,75.3%
234,3.69,9,77.7%
243,3.68,4,80.7%
247,3.66,4,82.0%
251,3.65,5,83.3%
256,3.64,1,85.0%
257,3.63,2,85.3%
259,3.61,2,86.0%
261,3.60,6,86.7%
267,3.59,4,88.7%
271,3.58,1,90.0%
272,3.57,4,90.3%
276,3.56,5,91.7%
281,3.55,1,93.3%
282,3.53,1,93.7%
283,3.51,1,94.0%
284,3.50,2,94.3%
286,3.49,1,95.0%
287,3.47,1,95.3%
288,3.45,3,95.7%
291,3.44,1,96.7%
292,3.43,1,97.0%
293,3.42,2,97.3%
295,3.38,1,98.0%
296,3.34,1,98.3%
297,3.33,4,98.7%
