Rank,GPA,People,Top%
1,4.30,2,0.0%
3,4.29,8,0.7%
11,4.28,1,3.3%
12,4.27,2,3.7%
14,4.24,4,4.3%
18,4.23,5,5.7%
23,4.22,3,7.3%
26,4.20,7,8.3%
33,4.19,3,10.7%
36,4.18,1,11.7%
37,4.15,9,12.0%
46,4.14,4,15.0%
50,4.13,6,16.3%
56,4.11,4,18.3%
60,4.10,4,19.7%
64,4.09,3,21.0%
67,4.07,2,22.0%
69,4.06,7,22.7%
76,4.05,6,25.0%
82,4.04,2,27.0%
84,4.02,4,27.7%
88,4.01,5,29.0%
93,4.00,3,30.7%
96,3.98,1,31.7%
97,3.97,7,32.0%
104,3.96,8,34.3%
112,3.95,3,37.0%
115,3.94,1,38.0%
116,3.93,9,38.3%
125,3.92,7,41.3%
132,3.91,3,43.7%
135,3.89,1,44.7%
136,3.88,8,45.0%
144,3.87,7,47.7%
151,3.86,3,50.0%
154,3.85,1,51.0%
155,3.84,4,51.3%
159,3.83,6,52.7%
165,3.82,6,54.7%
171,3.79,5,56.7%
176,3.78,4,58.3%
180,3.77,4,59.7%
184,3.76,2,61.0%
186,3.75,6,61.7%
192,3.74,1,63.7%
193,3.70,12,64.0%
205,3.69,6,68.0%
211,3.68,1,70.0%
212,3.66,6,70.3%
218,3.65,2,72.3%
220,3.64,2,73.0%
222,3.62,1,73.7%
223,3.61,4,74.0%
227,3.60,8,75.3%
235,3.59,5,78.0%
240,3.57,9,79.7%
249,3.56,5,82.7%
254,3.55,2,84.3%
256,3.53,1,85.0%
257,3.52,6,85.3%
263,3.51,4,87.3%
267,3.50,2,88.7%
269,3.47,3,89.3%
272,3.45,1,90.3%
273,3.43,6,90.7%
279,3.42,1,92.7%
280,3.41,1,93.0%
281,3.40,1,93.3%
282,3.38,1,93.7%
283,3.37,3,94.0%
286,3.34,1,95.0%
287,3.33,3,95.3%
290,3.32,1,96.3%
291,3.28,2,96.7%
293,3.25,1,97.3%
294,3.24,1,97.7%
295,3.23,1,98.0%
296,3.20,2,98.3%
298,3.00,1,99.0%
299,2.98,1,99.3%
300,2.79,1,99.7%
